Alpha,Accuracy,Precision,Recall,F1 Score
0.4,0.7359023708767364,0.6011152418782603,0.8915312572822898,0.5932710580630155
0.41,0.745590481228299,0.6110266782198904,0.8783029803016398,0.5975934894397185
0.42,0.7529799397786455,0.6185794317687927,0.8663363681780433,0.5996096145487846
0.43,0.7589782036675343,0.6242461272209849,0.8574821934856025,0.5999250558080448
0.44,0.7640876600477431,0.629060258284228,0.8490556812538281,0.5996168917824825
0.45,0.768388468424479,0.633266740635497,0.8415827221071288,0.5988469396570285
0.46,0.7719940863715281,0.6370996849227465,0.8341284706324227,0.5976038085769129
0.47,0.7750136311848962,0.6406282736727569,0.8257194370029126,0.5959396925275484
0.48,0.7775147162543402,0.6434256429439432,0.8182740392361958,0.5937222417749688
0.49,0.7796016438802085,0.6652227374923783,0.8107450286180454,0.6010570771392236
0.5,0.7814321560329859,0.6764738411444116,0.8035778289557475,0.6079915548557256
0.51,0.7829938422309027,0.6776739590060546,0.796060181908779,0.6047156986446928
0.52,0.7843006727430556,0.6887107422390968,0.7889215130274627,0.6111264801138979
0.53,0.7852135552300346,0.6897299311506998,0.7814642337639484,0.6071851294763794
0.54,0.7858293321397569,0.6908711502998861,0.7735596550684233,0.6029244809625837
0.55,0.7862863498263889,0.6920780405456816,0.7655899176091995,0.5983951158566179
0.56,0.7865599229600693,0.6932290550490683,0.7563955390596755,0.5935029654527052
0.5700000000000001,0.7865612792968748,0.6941697361468852,0.746210599270857,0.5881431981030937
0.5800000000000001,0.7864398871527779,0.6951593185190089,0.7351130100182427,0.5822913291809614
0.5900000000000001,0.7857929144965277,0.6960534888612018,0.721945755991112,0.5755372152002023
