Alpha,Accuracy,Precision,Recall,F1 Score
0.01,0.5153249104817706,0.5127615229177978,0.96495834016076,0.6601010487575962
0.02,0.5137907579210068,0.5122739190212496,0.9452291063193111,0.65297522243608
0.03,0.512722642686632,0.5121926401679388,0.9239940969497105,0.6454361523422685
0.04,0.5166666666666665,0.5143904429393219,0.9014740631561372,0.6395488581203181
0.05,0.5236869981553818,0.5191580120159194,0.8750440543302538,0.6337668436744124
0.06,0.5352372233072915,0.5278816169371654,0.8454362944653971,0.628165944848318
0.07,0.5530246310763889,0.5447165698689418,0.8144192799661911,0.6247038332369932
0.08,0.5747712537977432,0.5693061500806804,0.7797067470111597,0.6225309982723056
0.09,0.5975752766927083,0.6032394110723935,0.7418589431045259,0.6206084183767985
0.1,0.6118265787760414,0.6358421693278673,0.7035627186465016,0.6143978936145509
0.12,0.6271190049913197,0.6825453465703711,0.6381354988324694,0.5949529076737607
0.14,0.6370353868272569,0.7175745896532716,0.591917235285119,0.5790632849889623
0.16,0.6471788872612847,0.7500466554289761,0.5613425770456901,0.5707364997032343
0.18,0.6522873263888893,0.7753825319029498,0.5401234958144652,0.5633731166433694
0.2,0.6547842746310764,0.7918496239418126,0.5234573828807858,0.555902766487426
0.22,0.6554307047526042,0.8046776662610436,0.509297718248471,0.5483663302908934
0.24,0.6557761637369789,0.8152657112413955,0.4967233363044592,0.5413484496173426
0.26,0.656017320421007,0.8248745710007352,0.4852150468739406,0.5347755424738491
0.28,0.6560625542534722,0.8340926306653453,0.4744920561776589,0.5284693311324729
