Alpha,Accuracy,Precision,Recall,F1 Score
0.2,0.4974153645833334,0.49798455903674876,0.9982424303669438,0.6557446626314349
0.21,0.49713216145833344,0.49781936193880116,0.9975522668055643,0.6554469817895184
0.22,0.497158677842882,0.49772005408830955,0.996649791139654,0.6551966553291444
0.23,0.4956867133246528,0.4963951525289971,0.9897333019423914,0.6527162979543768
0.24,0.581181369357639,0.5797596557886243,0.9333136482919534,0.6864182041036537
0.25,0.6214962429470487,0.6412179600253143,0.8803727700668007,0.6919835378746667
0.26,0.6454737006293402,0.6870373152794147,0.8357560378712408,0.689865339597748
0.27,0.6460792371961809,0.7029436574636478,0.8054326779688599,0.6765807125550042
0.28,0.6453137885199655,0.7104845229747316,0.7845770625898417,0.6648243220633004
0.29,0.6453571234809029,0.7203795881491392,0.7674503593172308,0.6551278519330548
0.3,0.6443299018012154,0.7303279509703292,0.7527067102365299,0.6459802537358891
0.32,0.6425632731119795,0.7525063695051466,0.7274844567988176,0.6298027823126029
0.34,0.6394755045572917,0.7626408606553254,0.7057322232784062,0.6145670771053537
0.36,0.6383243136935763,0.7715627953281852,0.6875534493776155,0.6022741489696523
0.38,0.6373691813151044,0.7794337233255626,0.6707433569307973,0.5914006075161645
