Alpha,Accuracy,Precision,Recall,F1 Score
0.47,0.5519672309027776,0.5336771773884926,0.9132797329596918,0.6548867823961031
0.48,0.6639069281684029,0.6353199275572714,0.8020601087410694,0.6841608116084066
0.481,0.6728227403428818,0.6486031613168537,0.7865855505459648,0.6840626407107494
0.482,0.6808501519097223,0.6621040482588555,0.7709013184933764,0.6832641816143935
0.483,0.6880708143446183,0.6757733451593738,0.755100139772455,0.6818230596648129
0.484,0.6942881266276041,0.6896912162145583,0.7386929002444269,0.6793146412218654
0.485,0.6993463812934029,0.7029146697561608,0.7224739625837354,0.6759250447023974
0.486,0.7037927246093751,0.716296195850774,0.7063156098549489,0.6719340098698345
0.487,0.7075204128689231,0.7292395044247448,0.6905442096654218,0.6673475274627346
0.488,0.7104530164930556,0.7418679405587737,0.6752891869549659,0.6622668565189614
0.489,0.7125958930121525,0.7543111832178471,0.6601766498888414,0.6565183856176547
0.49,0.7141871473524308,0.766748786949411,0.6449599804302758,0.6501219821206596
0.491,0.7151791720920141,0.7788395035382387,0.6303466725144058,0.6434554442380273
0.492,0.7154883490668404,0.7904169933827583,0.6159786681410603,0.6362226666456314
0.493,0.7154437934027778,0.8023326031833937,0.6022368524382932,0.6289942617555979
0.494,0.7149154324001735,0.8167523736903557,0.5886310017046543,0.6213939912204439
0.495,0.7140229627821181,0.8275939902493061,0.5755278076072591,0.6136933555697737
0.496,0.7125852457682291,0.8361431241179171,0.5626738366760248,0.6055577154463895
0.497,0.7105980767144097,0.84342701739963,0.550045100372885,0.5969566194122122
0.498,0.7082326931423613,0.8495072253316566,0.5378782976776536,0.5882581200529645
0.499,0.7057662624782983,0.8546221021872066,0.5263924331578862,0.579682401700816
0.5,0.7032229275173607,0.8591431965880508,0.5151205387688566,0.5710575486634712
0.501,0.7007149251302083,0.8632447914762257,0.5044878066545513,0.5627748568863584
0.502,0.6981391059027782,0.8667720202975933,0.4943359204840505,0.5546427850437845
0.503,0.6955227322048608,0.8695826408935393,0.48454390854012436,0.5466103987172637
0.51,0.6771074761284724,0.8813582705840214,0.4247099776790772,0.4939474004410405
0.52,0.6535226779513889,0.9019646060413872,0.35910583909111443,0.43147435381413773
0.53,0.6343444146050345,0.9095524169572616,0.30998287902933064,0.3804438543516591
