Alpha,Accuracy,Precision,Recall,F1 Score
0.9,0.6193339998759921,0.5671591664064597,0.7599093431076055,0.43028566479789987
0.91,0.5282142275855654,0.49757454239969184,0.7409708750283748,0.32873219981831975
0.92,0.625846935453869,0.5618045920619017,0.790797001026906,0.4516893677129945
0.93,0.6038893926711312,0.650715748497527,0.7276017680501372,0.5236359633133915
0.94,0.5807428269159227,0.5728323224943078,0.7331733912675109,0.46159022136283545
0.95,0.5257295154389882,0.5657368364746156,0.7402565810579635,0.4295767124700738
0.96,0.5976437523251489,0.5269902087991343,0.8393095257789058,0.4530276103786854
0.97,0.5173840719556053,0.5486616456723583,0.7787546346862503,0.41925545887960225
0.98,0.5874445839533732,0.5546737166126516,0.8457779221876303,0.4933679949591542
0.99,0.6665870303199406,0.6238111482361823,0.9231622386639072,0.6041090835703874
