Alpha,Accuracy,Precision,Recall,F1 Score
0.0,0.4569384087456598,0.4569384087456598,1.0,0.49401605885795585
0.02,0.5163857014973958,0.5161124751351933,1.0,0.5477990908775974
0.04,0.49509406195746536,0.49024952706258795,0.9992672002370908,0.5227618568694195
0.06,0.5087644449869793,0.5049755459944779,0.9924816765966953,0.5318856461063756
0.08,0.5707845730251736,0.5483411143032818,0.9968530875472369,0.5732230239355511
0.1,0.420298597547743,0.4258587189373501,0.9682333629593433,0.4318719794941054
0.12,0.43868075900607645,0.41469843839981524,0.9749576307430122,0.4292601891666834
0.14,0.4880609809027777,0.4679002302564607,0.9655803280494176,0.46752798865900247
0.16,0.5550946723090278,0.5559942641046713,0.962934545548024,0.5755083973335909
0.18,0.5894915093315972,0.5750923755329412,0.9793219198986982,0.5901341997903492
0.2,0.507663302951389,0.47613639138033337,0.9816231067299727,0.4848480941410208
0.22,0.6703010389539932,0.6374808091282481,0.9651421319731875,0.6379799412533994
0.24,0.48985161675347216,0.4910000927660134,0.9453388266612132,0.4868713074264262
0.26,0.5544868977864583,0.5140367552568943,0.9409049823633586,0.5191141049584638
0.28,0.4454168701171875,0.4473913629498395,0.9356937286915555,0.4391576215435502
0.3,0.5728739420572917,0.5384539074453997,0.9344740505405658,0.5196278670358538
0.32,0.5523085530598959,0.5247032010222917,0.9450159335711027,0.5178966240736173
0.34,0.5014630126953126,0.474660223725656,0.9304771138962563,0.44721998838188254
0.36,0.5585664876302083,0.4804549949152503,0.9568841499411405,0.48356241913189557
0.38,0.5799884711371529,0.5350799863324355,0.9370045650547156,0.5253752131949941
0.4,0.5471496582031251,0.5061276196557462,0.941186000892615,0.48939202276949545
0.42,0.5229464382595486,0.5127083773281527,0.8932975276439545,0.4684015090596458
0.44,0.570168660481771,0.5480003003241567,0.9416643060809688,0.5277404297887217
0.46,0.5800166829427084,0.5772202461878695,0.8949884678127394,0.5430534679424429
0.48,0.529798109266493,0.5095548118658422,0.9173390975428731,0.48570183176697534
0.5,0.5700474039713542,0.5277743385497413,0.9268275386616138,0.5233193774621676
0.52,0.6088819037543403,0.5626745298344658,0.9292953166349363,0.5342463514097963
0.54,0.6086647542317709,0.5768766257256407,0.8989596053092861,0.5372406073912334
0.56,0.6011555989583334,0.6306968002811659,0.8916388672864299,0.5776796517453227
0.58,0.5820678032769098,0.5288797363782465,0.9224871276898885,0.49215684485506
0.6,0.6074295383029514,0.5781888938163671,0.9296093563401762,0.5584814307807372
0.62,0.5727316623263888,0.5681687055677664,0.8889770264975532,0.5080740301131244
0.64,0.6885470241970485,0.6835375084754705,0.9310885015013914,0.6573596176129414
0.66,0.6057385932074654,0.519654624947408,0.9100197941141327,0.4948496392223277
0.68,0.6007871500651042,0.5922790127187545,0.8478293268184323,0.5042849782378119
0.7000000000000001,0.5717086452907986,0.5489147563581231,0.8780313561232758,0.4936609986413844
0.72,0.650789523654514,0.6545315006124085,0.8885098176373625,0.5791040961342534
0.74,0.6494575330946181,0.6127863554754615,0.8572168322746903,0.5413221376906219
0.76,0.5494953070746528,0.4923009878653074,0.8500005004389748,0.41889109610150216
0.78,0.5759682888454861,0.49809676094820615,0.8851421372194705,0.4404209025517115
0.8,0.6722391764322916,0.5807048516394857,0.813589273170559,0.4856279606716933
0.8200000000000001,0.6529524061414931,0.6036403865860099,0.7800837637100534,0.47545585839463195
0.84,0.6108072238498264,0.6852829949061414,0.7823302819865501,0.51028685460245
0.86,0.612466769748264,0.5952590155044685,0.757907660508592,0.45381783838813206
0.88,0.622135009765625,0.6842801899225163,0.7470999390472771,0.4923207954764726
0.9,0.6819058566623265,0.6688910921139872,0.7613232101856329,0.5071018564909949
0.92,0.6270254855685764,0.7130478897438435,0.6837637020145328,0.4647438126797045
0.9400000000000001,0.6014398871527777,0.7531292153945128,0.6493243476272562,0.4741825257918119
0.96,0.626586168077257,0.7086925157669458,0.6807077961676277,0.4336840725462936
0.98,0.5418406168619792,0.8689255454058682,0.5059214345176517,0.4128149605122286
